parent_company,sector,total_scope1_emissions_mtco2e,facility_count
Vistra Corp,Utilities,85937203.0,36
THE SOUTHERN CO,Utilities,75861755.49,26
DUKE ENERGY CORP,Utilities,72046533.09,36
BERKSHIRE HATHAWAY INC,Utilities,49384250.43,34
AMERICAN ELECTRIC POWER CO INC,Utilities,48784619.4,24
CPN MANAGEMENT LP,Utilities,47673630.73,43
NEXTERA ENERGY INC,Utilities,42308580.0,19
US GOVERNMENT,Utilities,38026821.0,19
ENTERGY CORP,Utilities,37833221.54,25
XCEL ENERGY INC,Utilities,35249024.98,25
DOMINION ENERGY INC,Utilities; Energy,28016898.5,24
EXXON MOBIL CORP,Utilities; Energy; Chemicals/Materials,28000993.24,6
MARATHON PETROLEUM CORP,Utilities; Energy; Chemicals/Materials,27180406.0,13
PPL CORP,Utilities,26771408.0,6
PHILLIPS 66,Utilities; Energy; Chemicals/Materials,23790147.0,16
EVERGY INC,Utilities,22924450.97,12
DTE ENERGY CO,Utilities,21935699.0,9
NRG ENERGY INC,Utilities,21733150.42,13
VALERO ENERGY CORP,Energy; Chemicals/Materials,21263561.0,14
BASIN ELECTRIC POWER COOPERATIVE,Utilities; Energy; Chemicals/Materials,21074798.51,11
CF INDUSTRIES HOLDINGS INC,Chemicals/Materials,20579426.0,6
AMEREN CORP,Utilities,19669523.0,10
LIGHTSTONE GENERATION LLC,Utilities,19136181.0,4
WEC Energy Group Inc,Utilities,16948662.0,13
CMS ENERGY CORP,Utilities,16594385.89,9
SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,Utilities,15876241.06,12
ASSOCIATED ELECTRIC COOPERATIVE INC,Utilities,15571683.0,7
CHEVRON CORP,Utilities; Energy; Chemicals/Materials,15548233.68,11
DOW INC,Utilities; Energy; Chemicals/Materials,15453698.0,7
FIRSTENERGY CORP,Utilities,15258136.0,2
SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,Utilities,14096573.0,4
AIR PRODUCTS & CHEMICALS INC,Chemicals/Materials,13964747.0,25
KOCH INDUSTRIES INC,Energy; Chemicals/Materials,13880560.0,9
ALLIANT ENERGY CORP,Utilities,12978130.52,15
AES CORP,Utilities,12393436.0,8
PRAIRIE STATE ENERGY CAMPUS MANAGEMENT CO,Utilities; Energy,11371288.0,1
"LS Power Development, LLC",Utilities,10829544.0,22
PBF ENERGY INC,Utilities; Energy; Chemicals/Materials,10756376.0,6
CPS ENERGY,Utilities,10609734.0,5
PINNACLE WEST CAPITAL CORP,Utilities,10537823.58,8
TALEN ENERGY CORP,Utilities,10478774.3,13
ARCLIGHT ENERGY PARTNERS FUND VII LP,Utilities,10185496.0,14
OGLETHORPE POWER CORP,Utilities,10016297.6,10
BUCKEYE POWER INC,Utilities,9421839.0,3
CONSTELLATION ENERGY CORP,Utilities,8929938.0,9
LINDE INC,Chemicals/Materials,8713944.0,17
CLECO CORPORATE HOLDINGS LLC,Utilities,8612060.06,7
LOWER COLORADO RIVER AUTHORITY,Utilities,8428181.48,6
LYONDELLBASELL INDUSTRIES INC,Energy; Chemicals/Materials,8361957.5,10
NEBRASKA PUBLIC POWER DISTRICT,Utilities,8312557.0,4
TRI-STATE GENERATION & TRANSMISSION ASSOC INC,Utilities,8262405.67,7
EAST KENTUCKY POWER COOPERATIVE INC,Utilities,8158933.0,4
BP AMERICA INC,Utilities; Energy; Chemicals/Materials,7908506.0,4
PDV AMERICA INC,Energy; Chemicals/Materials,7818236.0,4
OGE ENERGY CORP,Utilities,7771286.0,9
OMAHA PUBLIC POWER DISTRICT,Utilities,7767450.0,4
REMC ASSETS LP,Utilities,7716347.0,1
TECO ENERGY INC,Utilities,7516202.0,3
PUGET HOLDINGS LLC,Utilities,7340458.85,7
UNS ENERGY CORP,Utilities,7295954.88,7
SEMINOLE ELECTRIC COOPERATIVE INC,Utilities,6957670.0,2
