parent_company,listed_company_name,ticker,sector,total_scope1_emissions_mtco2e,facility_count,total_revenue_usd,enterprise_value_usd,ebitda_usd,market_cap_usd,Carbon_Intensity,ev_to_ebitda,log_market_cap,ebitda_margin
Vistra Corp,Vistra Corp.,VST,Utilities,85937203.0,36,19445000192.0,68470259712.0,6790000128.0,46713257984.0,0.004419501267752932,10.083985039948441,24.567293858203833,0.34919002627696144
THE SOUTHERN CO,The Southern Company,SO,Utilities,75861755.49,26,30175000576.0,183802855424.0,13973999616.0,105988849664.0,0.0025140597859785105,13.153203125435093,25.38659973367637,0.4630985699836031
DUKE ENERGY CORP,Duke Energy Corporation,DUK,Utilities,72046533.09,36,32718999552.0,189543710720.0,16478000128.0,97480712192.0,0.0022019784857876573,11.502834643017184,25.302920371708733,0.5036217596388199
BERKSHIRE HATHAWAY INC,Berkshire Hathaway Inc.,BRK-B,Utilities,49384250.43,34,375394009088.0,-265532506112.0,118003998720.0,1043227017216.0,0.00013155311282131657,-2.250199221994636,27.67333992618835,0.3143470483364519
AMERICAN ELECTRIC POWER CO INC,"American Electric Power Company, Inc.",AEP,Utilities,48784619.4,24,22432999424.0,122395811840.0,9141000192.0,69933817856.0,0.0021746810793302858,13.389761434106314,24.970815172567306,0.4074800707309999
NEXTERA ENERGY INC,"NextEra Energy, Inc.",NEE,Utilities,42308580.0,19,27865999360.0,291319250944.0,14158999552.0,177526734848.0,0.0015182868359902236,20.574847105129706,25.902387053381972,0.5081102374646721
ENTERGY CORP,Entergy Corporation,ETR,Utilities,37833221.54,25,13287438336.0,81378492416.0,5490236928.0,50587340800.0,0.0028472923511146217,14.822400833190418,24.646967200120958,0.41319002121915094
XCEL ENERGY INC,Xcel Energy Inc.,XEL,Utilities,35249024.98,25,14784000000.0,86230450176.0,6060000256.0,48755453952.0,0.002384268464556277,14.229446622650439,24.61008290407108,0.4099026147186147
DOMINION ENERGY INC,"Dominion Energy, Inc.",D,Utilities; Energy,28016898.5,24,17449000960.0,116135239680.0,8240000000.0,58725048320.0,0.001605644848334056,14.094082485436893,24.79613219030927,0.47223333982784077
EXXON MOBIL CORP,Exxon Mobil Corporation,XOM,Utilities; Energy; Chemicals/Materials,28000993.24,6,326008012800.0,670152916992.0,56007000064.0,624311926784.0,8.589050618574243e-05,11.965520671098375,27.15991596308279,0.17179639108551384
